,B cell,DN1 thymic pro-T cell,Fraction A pre-pro B cell,Langerhans cell,T cell,alveolar macrophage,basal cell,basal cell of epidermis,basophil,bladder cell,bladder urothelial cell,blood cell,cardiac muscle cell,ciliated columnar cell of tracheobronchial tree,classical monocyte,dendritic cell,duct epithelial cell,early pro-B cell,endocardial cell,endothelial cell,endothelial cell of hepatic sinusoid,epithelial cell,erythroblast,fibroblast,granulocyte,granulocytopoietic cell,hematopoietic precursor cell,hepatocyte,immature B cell,immature T cell,keratinocyte,kidney capillary endothelial cell,kidney cell,kidney collecting duct epithelial cell,kidney loop of Henle ascending limb epithelial cell,kidney proximal straight tubule epithelial cell,late pro-B cell,leukocyte,luminal epithelial cell of mammary gland,lung endothelial cell,macrophage,mast cell,mesangial cell,mesenchymal cell,mesenchymal stem cell,monocyte,myeloid cell,nan,natural killer cell,neuroendocrine cell,non-classical monocyte,proerythroblast,promonocyte,skeletal muscle satellite cell,stromal cell,type II pneumocyte
69,Unc93b1,Cd6,Spn,Hilpda,Gimap7,2400009B08Rik,Sh2d5,Dlk2,Spns3,C1ra,Nqo1,Etv3,Fbxl22,1700024G13Rik,Csf2ra,Fcrla,Scamp5,Ankrd33b,Tie1,Pcdh17,Cmtm8,Bcam,Ppp1cb,Pcsk6,Clec5a,Sfpi1,Rpia,Otc,Prg3,Top2a,Vsig8,F8,Laptm5,Cox7a1,Ggt1,Defb29,Cenpm,Nlrp3,Pgr,S1pr1,Gm2a,Csf2rb2,Jph2,Vasn,C1s,Ptpro,Cxcl13,Tcap,Ptprc,Fxyd1,Dpep2,Epor,Gsr,Sbno2,Srpx,Il33
70,Fam65b,Chn2,Hmgb2,Ifi30,Cd5,Tlr2,Tpbg,Gdpd2,Mpo,Pcolce,Degs2,Glipr1,Epha4,Fam92b,Cyp4f18,Fyn,C8a,Dpp4,Clec14a,Adcy4,Arap3,Scg5,2010011I20Rik,Gpr153,Pram1,Tkt,Tkt,Selenbp2,H2-Oa,Ccnb1,Ccl20,Meox1,5430435G22Rik,Pou3f3,Tns1,Cldn2,Dnajc9,Slc15a3,Mtmr7,Eltd1,Ccl6,Adora2b,Dkk2,Thsd4,C1ra,Ccdc109b,Slamf9,Actn3,Cd48,Fgl2,Smpdl3a,Ptdss2,Gm13476,F2r,Slc7a10,Wfdc2
71,Gimap6,Cd40lg,Lsp1,Gm11974,Tnfrsf9,Klra2,Nop58,BC048355,Stx3,Spon2,Grhl3,Ccl12,D830015G02Rik,Tcea3,Gpr141,Ccr5,Mbl1,Cep250,Sox18,Cxcl12,Lpar6,Clca4,1810058I24Rik,Sparcl1,Alox5,Birc5,Arhgdib,Pon1,Fam65b,Ptcra,Ly6g6e,Robo4,Havcr2,S100a1,Gabarapl1,Eci3,Mcm3,Cd300a,Ubd,Slco2a1,Runx2,Cd53,Speg,Matn3,Rhoj,Lsp1,Slamf7,Pf4,Ctla2b,Crem,Slc16a3,Birc5,Gmnn,Rtn2,Lbh,Prrg3
72,Pxk,Cd52,Ccdc88a,Rel,Cd7,Bcl2a1b,Chadl,Dsc3,Hist1h2ae,Hoxa11as,9530036O11Rik,Cxcr6,Myl3,Ccdc17,Prkcd,Ctss,F10,Il16,Amigo2,Pcp4l1,Ppap2b,Thbs1,Bsdc1,Zeb2,Prdx5,Prdx5,Tipin,Pzp,Fcrl1,Mcm6,Capns2,Ramp2,Clec12a,Pkhd1,Oxct1,Khk,Hist1h3c,Gp49a,Tmc4,Cxx1b,Batf3,Gpr34,Nr2f2,Fam101a,Ugdh,Tgfbi,Clec9a,Cd207,Sept1,Matn2,Gm2a,Prkar2b,Ccdc109b,Calcr,F2r,Tspan11
73,Btk,Cd2,Gria3,Pak1,Tcf7,Plin2,Lamc2,D2Ertd750e,Sdf2l1,Sparc,Nrn1,Srgn,Rcan2,Fam47e,Ccdc109b,Trim30a,Areg,Rsph1,Fam198b,Stc1,Ralgapa2,Eya2,Creg1,Tnxb,Fcgr3,Top2a,Dtymk,Crp,Grap,Dck,Gjb2,Tbxa2r,4930506M07Rik,Tfap2b,Tspan8,Nat8,Stambpl1,Ccrl2,Ngf,Aard,Fyb,Srgn,Rbm24,Nfatc1,Loxl1,Lrrc25,AA467197,Col8a2,Rgs1,Apold1,Ifitm6,Tmod1,Nin,Dag1,Scn7a,Ctsh
74,Cd55,Fasl,Vrk1,A430084P05Rik,Shisa5,Bcl2a1d,Fndc4,Pitx2,1190002F15Rik,Gas6,Rab27b,Mpeg1,Mfn2,Cetn4,Gm5150,H2-DMa,1810019D21Rik,Arntl,Sost,Epas1,Rn45s,Rad51l1,Pabpc1,Htra4,Nfe2,Ube2c,Top2a,Pigr,Il12a,4930572J05Rik,Tgm1,Ecscr,Csf2ra,I830012O16Rik,Cdkl1,Bdh2,Fam129c,Fabp7,Irx5,Sept4,Slamf8,Ptpre,Kcnmb1,Lmcd1,Scara5,Ifitm3,Irf5,Art3,Cd2,Mcam,Samhd1,Lmo2,Asf1b,Six1,Col13a1,Kcnj15
75,Pold4,Cd28,Kctd12,Lsp1,BC021614,Lilra5,Stac2,Krt17,Matk,Itga11,Fer1l4,5430435G22Rik,Jph2,Il18r1,Rassf4,Tcf4,Syngr1,Cd72,Tspan6,Gbp2,Esam,Atp1b1,Nusap1,Hand2,Glrx,Hist1h1b,Cdca7,Apof,Ikzf1,Bambi-ps1,Lgals7,Pde2a,Psap,Gprc5c,Cox7a1,Aass,Rrm1,Pilrb1,Serinc2,Ppap2a,Sfpi1,P2rx1,Ppp1r14a,Fgfrl1,Ms4a4d,Cfp,Clec4b1,Lpar1,Serpina3g,Nr2f1,Metrnl,Uros,Psap,Runx1,Gpc3,Gpr116
76,Tbc1d10c,Gimap1,Tpx2,Rgs2,Rapgef6,Snx10,Rrs1,Ddr1,Adck4,Col6a2,Sprr2g,Tyrobp,Sh3bgr,Ppil6,Cd97,Pltp,Sprr1a,BC035044,Plxnd1,Esm1,Hecw2,Fbxo32,Cdc25b,Gucy1a3,Gmfg,Pygl,BC005764,Gjb1,Jakmip1,Ezh2,S100a14,Tmem88,Pak1,Col18a1,Cacnb4,BC089597,Tpx2,Plbd1,Plekhb1,Ednrb,Evi2a,Gm17745,Wtip,Abi3bp,D630033O11Rik,Zeb2,Adrbk2,Pamr1,Lime1,Nr4a2,Skint3,Nt5c3,Dek,Pi4k2b,Ednra,Ppp1r9a
77,Shisa5,Spin2,Bloc1s2,Plek,Evl,Pilra,Speer4e,Serpinb5,Hk3,Npy1r,Ets2,Ifi30,Smyd1,Tmem107,AB124611,Nek6,Wfdc2,Il12a,Airn,Upp1,Tnfsf10,Dcxr,Sec61g,Mxra7,Hk3,Ap3s1,Hist1h2ac,Mup1,Cmah,Mcm5,Cyp4f39,Thbd,Hepacam2,Pax2,Glod5,Cubn,Ccnb1,Trem1,Lif,Prss23,Lst1,Itk,Bcam,Frzb,Cadm3,Lilrb4,Klrd1,Mt1,Lck,Cxcl1,Rnase6,Hist1h2ao,Ccnb2,Lpar1,C1qtnf7,Prps2
78,Napsa,Rasal3,Lat2,Gch1,Nsg2,Lilrb4,Tmem158,Phospho1,Npl,Rarres2,Gpa33,Ramp3,Sgcg,Wdr96,Fxyd5,Ctsb,Pvrl2,Dusp2,Tspan2,Gm12216,Lphn2,Hspa1b,Tcp11l2,Sulf1,Clec12a,Sepx1,Hdc,Hrg,Cd55,Rcbtb2,Slpi,She,Plekho1,Nudt4,Rn45s,Fam151a,Arntl,Mrc1,Inhbb,Tmem140,Unc93b1,Rab19,Mef2c,Foxa3,Col4a1,Csf2ra,Slamf8,Eno3,Plek,Fbxl22,Prkcd,Isg20,Ethe1,Neu2,Abca8a,Kcne2
79,Gpr171,Inpp4b,Pkib,Rasgef1b,A130040M12Rik,Sepx1,Apoe,Bcam,Dapp1,Rcn1,Enho,Gpr132,Cap2,Nhlrc4,Sepx1,Snx5,Hao1,Plekha2,Afap1l1,Ramp2,1200009I06Rik,Gstm2,Fzr1,Nid1,Pilrb1,Mgst2,Dctpp1,Slc25a47,Hcls1,Hmgb1,Eppk1,Elk3,Naga,Ppargc1a,Bpnt1,Cda,Cdca8,Fcgr3,AW112010,Slc6a2,Fcgr3,Alox5,Ppp1r12a,Cadm1,Plac9,Emr1,Psap,Ccl11,Bcl2,Aatk,Ccl6,Add2,Irf5,Insig2,Igfbp6,Adam19
80,Ell3,Itgb7,Fut7,Ctsz,Dusp10,Unc119,Prss23,Adh7,Angpt1,Col14a1,Far1,Ccr2,Akap6,Ubxn10,Dleu2,Ramp1,Serpinc1,Ppp1r16b,Adcy4,Sox18,Pcdh12,Fosb,Gclm,Nav1,Glipr2,Orm1,Gmfg,Angptl3,Ptpn6,Zap70,Aldh3b2,Gimap4,Cd244,Scd2,Me3,Hnf4a,Ptprcap,1810033B17Rik,Slc7a2,Aplnr,A430084P05Rik,Dgat1,Acyp2,Corin,Steap4,Clec12a,Xlr,Gm13889,Epsti1,Cxcl10,Fam49a,Xpo7,Racgap1,Itga7,Ifi205,Nkd1
81,Gpr183,Cd48,Cdca8,2010002N04Rik,Tmsb10,Cd68,Il24,Krtcap3,Csgalnact2,Kdelr3,Cdh1,S100a4,Slc25a4,Lrrc23,Tnfrsf1b,Ccnd1,Gata3,Adamts7,Cdh5,Mmrn1,Cyp4b1,Edn1,Lmo2,Fxyd6,Cpne3,Cyba,2810417H13Rik,Cyp2d9,Napsa,Smc4,Alox12b,Gimap6,BC028528,Kcne1,Mal,Slc3a1,Cdc25b,Lrrc25,Cd164l2,Tnfsf10,AI607873,Ier2,Rasl12,Ecm2,Col4a2,Tnfaip8l2,Ccl6,Fam159b,Gimap5,Itga7,Apbb1ip,Tmem14c,Ncf4,Frmd6,Slc38a5,Irx5
82,Cd53,Ptpn18,Amica1,Ehd1,Plcxd2,Card11,Mdk,Kif21a,Cks2,Sfrp2,Pvrl2,Ms4a6c,Asb2,2210020M01Rik,Emr4,Lsp1,Degs2,E130215H24Rik,Flt1,Rbp7,Slc43a3,Tmem176a,Rnf10,Abcc9,Pnkp,Smc2,F13a1,Gsta3,Ebf1,Pppde2,Jup,Nes,Fgd2,Elovl7,Arhgap24,Spp1,Aspm,Cd68,Kcnk5,Arhgef15,Alox5ap,Padi4,Hoxc10,Aspn,Socs3,Slfn2,Ms4a7,Mt2,Ptprcap,Gm106,Cbfa2t3,Rad23a,4632428N05Rik,Sytl2,Gja5,Aox3
83,Cyp4f18,Gimap5,Kif15,Lpar3,Emb,Abcd2,Dusp7,Lancl1,Nkg7,Plk2,Spint1,Ccl7,Rbm24,Pcp4l1,Sirpa,H2-T23,Vtn,Cd37,Rdx,1190002H23Rik,Stard8,Trib1,Tspan33,Igfbp3,1700047M11Rik,Xpc,Sfpi1,Ugt2b36,D930015E06Rik,Kif22,Sfn,Plscr1,Ifi30,Gstm2,Egfl6,Kcnj16,Spc24,Samsn1,Muc4,Cd97,Tnf,Mxd1,Ngf,Clec11a,Tfpi2,Rnase6,Unc93b1,Tpm1,Lat2,Npy1r,Plac8,Hist2h2ac,Lgals1,Ntn5,Macf1,A930038C07Rik
84,Zfp318,Klra10,Ppm1m,Traf1,Il2rg,Pion,Akap2,Dusp6,Grm6,Copz2,Gm5480,Icos,Pcp4l1,Dnahc5,Gm4902,Ccdc162,Mup12,Tnfrsf19,Tmtc1,Akap12,Fcgrt,Mgat3,Riok3,Lama2,Cd300lf,Ncam1,Etfb,C4bp,Dennd4b,Rorc,Trim29,Hyal2,Fcer1g,Hoxb6,Ranbp3l,Pecr,Cd24a,Srgn,Zfp664,Aqp1,Lrrc25,Adck4,Grip2,Il17d,Lamc1,Fes,Laptm5,Tagln,Kcnj8,Prss23,Ceacam1,Hist1h2ab,Cks1b,Gpx3,Cfh,Irx3
85,Ccr7,Ppm1j,Gng10,Dnahc2,Inpp4b,B3gnt7,Mt1,Rac3,Tmem71,Selm,Basp1,Trim25,Adprhl1,Tekt4,Fcgr2b,Orai3,1110017F19Rik,Tbxa2r,Spnb2,Col4a2,Vamp5,Kcnk1,Rbm38,Zeb1,Ly6c2,Aldh3b1,Phgdh,Cyp3a25,Cd74,Pcna,Krt78,Gm12216,Kctd12,Efhd1,Plau,Cdh16,Apitd1,Mpeg1,Mtap1b,Galntl4,Cd86,Gm14005,Hey2,Tgfb3,Loxl2,Pyhin1,Lilrb3,Cebpd,Chsy1,Atp1a2,Csf2ra,Isca1,Me2,Zbtb20,Aldh1a1,Anpep
86,Sipa1,Fgf13,Ccna2,Lat2,Gimap9,Itgb2,Col16a1,Tfap2a,Cd63,Rerg,Scamp5,Cd86,Tbx20,Chchd10,1810033B17Rik,Plekhm3,Pparg,Erg,Fam174b,Dll4,C1qtnf1,Slc4a5,Gabarapl2,Colec11,Ppp1r42,Prss57,Sec61b,Cfi,2810013P06Rik,Lrmp,Acer1,3110099E03Rik,Psmb8,Scin,Pcsk6,Abcg2,Rsph1,Cxcr4,Inppl1,Hey1,Kctd12,Stx3,Tril,Eln,Cxcl14,Susd3,Bcl2a1b,Gm11428,Akna,Egfl8,Nfam1,Smc2,Prkcd,Actn3,Adamts2,Snhg11
87,Ccr6,Itgb2,Sgol2,Malt1,Rgs10,Amz1,Trpm4,Palmd,Glipr1,Aard,Pparg,AI607873,Ak1,Iqca,Psap,Ptpn6,Rab11fip1,Srfbp1,Lifr,Cd200,Myct1,Folr1,Spna1,Rgs5,Ncf4,H2afx,Emb,Asgr1,Cyp4f18,Capn3,2810405K02Rik,Epas1,Sla,Tmem72,Epb4.9,Gas2,Lig1,Cxcl13,Capsl,Nrp1,Pkib,Supt3h,Nr4a2,Bmp2,Tmeff2,Fgr,Lat2,Angptl1,As3mt,Ccl2,Rpl3l,Nfe2,Gm885,Pmepa1,Tnfsf13b,Sema4f
88,Prr5,Sema4a,Kmo,Itgb7,Cxcr3,Il1rn,Synpo,Plp2,Fam174b,Calcrl,Idh1,Il5,Vldlr,Tcte1,Nfam1,Card11,Rhpn2,Itga4,Apoe,Cav2,Slc43a2,Cxadr,Tbcel,Tbx18,AB124611,Cks2,Ms4a6c,Ttpa,BC035044,Ptprcap,Ly6d,Lmo2,Tifab,Tspan1,Kl,Sord,Mcm5,Slfn2,Tmem158,Clic5,Amica1,Tec,Klhdc8b,Fbxo2,Sdc2,Fxyd5,Itgax,Folr2,Gpr171,Fam178b,Irf5,Ccna2,Fam49b,Pax7,Fhod1,Fgfr2
89,A630001G21Rik,Klra6,H2-DMa,Nccrp1,S1pr1,Itpripl2,Pdlim7,Phgdh,Cks1b,Lhfp,Ano1,Mmp19,Sspn,Rsph4a,Glipr1,Pnck,Reps2,Bin1,Il6st,Icam1,Hamp,Cyp2b10,Prdx2,Naalad2,Ncf2,Ppm1m,Impa2,Slc38a4,Zcchc11,Sash3,Aox4,Thrsp,H2-Oa,Phyhipl,Pla1a,Pcbd1,Chchd10,Gngt2,Cdc42ep4,Scn7a,Clec4a1,Igf1r,Slc8a1,Gm525,Lbp,AF251705,Myo1g,Vit,Kcnab2,Sema3b,Lyn,Hmmr,Kif11,Pde4b,Fxyd1,Ralgapa2
90,Rasgrp3,Tnfaip8l2,Nup210,Tm6sf1,P2ry10,Abhd12,Tmem51,Cenpf,Fyb,Prss35,Tnfaip2,Ninj1,Tbx5,Iqcg,Plbd1,Lrp8,Dnase1l2,Hes6,Klhl4,Il6,Sh3tc1,Gm889,Snx15,Adamts10,Gsr,Spc25,Mcm2,Apon,Foxp1,Mcm3,Ptgr1,Calcrl,Gng10,Tspan8,Pkp4,Gyk,Hist1h2ac,H2-DMa,Dbndd2,Adcy4,Fcgr4,Chst13,Pde1a,Fam180a,Antxr2,Sirpa,Bst2,1500015O10Rik,Klra12,Pdlim3,S1pr5,Fam117a,Ctsg,Ccl19,Gsn,Scd2
91,B3gnt5,Itgal,Ly86,Kdm4a,Runx3,Alox5ap,Wdr43,Car12,Casp3,Leprel2,Capn5,Gpr65,Pdlim5,D430036J16Rik,S100a4,Flt3,Lmo1,Agpat9,Gata4,S1pr1,Plekhg1,Dnajb1,Chac2,Bicc1,Chi3l1,Ebi3,Cdca7l,Cyp1a2,Gm4759,Ap3s1,Sprr2i,Klf2,Cd52,Idh2,Tmem86a,Tinag,Cks1b,Lyz1,Met,Tmem204,Gm6377,Arhgap15,Pbxip1,Samd4,Lama2,Atp1a3,Ckb,Sparc,Runx3,Aspn,Lrrc25,Ccne1,Cenpe,Myc,Grem2,Mmp15
92,Mndal,Gm11346,Cfp,Ninj1,Gimap1,Plek,Lama3,Chit1,Cd200r1,Loxl2,Ppargc1a,Dennd4a,Sorbs1,Calml4,Il10ra,Fam125a,Tbc1d5,Slc30a5,Cav1,Sparcl1,Col13a1,S100a1,Hagh,Spnb2,Gp49a,4632428N05Rik,Rfc2,A1bg,Ifi203,Colq,Hspb1,Slfn5,St3gal5,Sostdc1,Cd59a,Galnt11,Dnmt1,Cyp4f18,Kcnn4,Podxl,Csf2rb,Ccr2,Slc4a3,Hspb6,Bmp1,Psap,Rgs10,Ctsk,Lgals1,Il34,Lcp2,Gypc,Nusap1,Arid5b,Prex2,Matn4
93,Lax1,Hmha1,Cenpa,Gpr141,Klrd1,Fcer1g,Rbpms,Ppp1r14c,Rom1,Hoxa11,Ugdh,Ccr5,Sorbs2,1110017F19Rik,Fyb,H2-Ab1,Kcne1,Ucp2,Nts,Rsad2,Bst2,Myh14,1110020G09Rik,Ngf,Hcst,Gmfg,Hist1h1b,Itih2,4930420K17Rik,Rrm1,Hebp2,Ifit3,Tnni2,Npnt,Bckdhb,Cndp2,Gmnn,Cd300lf,Tspan1,Ldb2,Fcgr2b,Alox8,Fxyd1,Penk,Sult5a1,Emb,Hck,Scgb1a1,Evl,Flna,Plek,1190002F15Rik,Ms4a4c,Mtap1b,Hmcn1,Mid1ip1
94,Sell,Sit1,Clspn,Itgax,Sept6,Clec4a3,Mt2,Prc1,Tec,Fosb,1190003J15Rik,Crem,Ndrg4,Osbpl6,Unc93b1,Psap,Apoc4,Hnrnpul1,Ltbp4,Gpr4,Ramp2,Ifi202b,Zfand6,Crispld2,Rasgrp4,Pilrb1,Mcm7,Itih3,Gpd1l,Tuba1b,Pir,Tspan15,Tyrobp,Rragd,Plscr2,Aldh6a1,Smarca4,C3ar1,Sdc4,Impdh1,Psap,Il7r,Usp2,Rcan1,Tac1,Lyn,Fcrls,Thbs1,Baiap3,Adra2a,Ptprc,Abcb4,Lbr,1300014I06Rik,C1s,Tmem164
95,Hmha1,Lax1,Tmpo,Tyrobp,Slfn1,Wfdc10,Tspan4,Ptk7,Edem3,Fblim1,Flnb,Bcl2l11,Pfkm,1700026D08Rik,Oasl2,Csf2rb2,Slc22a7,Heyl,Sepp1,Clic5,Tmem88,Kcnj13,Yipf4,Socs2,Trem1,Kif11,Hells,Hamp2,Rac2,Kpna2,Sprr3,Npr1,Unc119,Ptgfr,Chchd10,Plscr2,Dck,Cytip,Ralgds,Sema3c,P2ry6,Ccpg1,Palld,Dusp14,Mmp2,Cd209a,Naga,Igfbp5,Tbc1d10c,Fermt2,Cxcr4,Ccnb2,Cdkn3,Hspa1b,C4b,Sgms1
96,Bin1,Rac2,Tcf19,Lmnb1,Zc3hav1,Slamf9,Nop2,Lamc2,Pglyrp1,Fkbp10,Ebpl,Fcgr3,Dmd,AK129341,Lrrc33,H2-Aa,Gsta4,Unc93b1,Ipo11,Arhgap31,Fyn,Gsta3,Mcart1,Fbln5,Samd9l,H2afz,Spcs3,Agt,BC094916,Arl5c,Evpl,Ptpru,Clec4a1,Chchd10,Aktip,Kl,Lgals9,Gda,Bik,Mcam,Laptm5,Itgal,Dmpk,Wwp2,Ndn,Cd48,Csf2ra,Gpm6a,Qrfp,Cd59a,Trem3,Ube2c,2610039C10Rik,Slc10a6,Tmem204,Dcxr
97,Gpr174,Samd3,Cenpm,Sdcbp2,Arhgap15,Sept9,Map2k3,S100a14,P2rx1,Chodl,Fscn1,Hmox1,Nrap,Ccdc19,Ifit3,H2-DMb1,Uchl1,Cyp4f18,Arhgap31,Thbd,Bace2,Foxa1,Dapk2,Cald1,Lcp1,Fam49b,Gpi1,Cdo1,Gimap1,Mcm2,Gcat,Fgd5,P2ry6,Tns1,Slc5a1,Fmo1,Tuba1b,Fcgr4,Lama5,Tbx3,Flt3,Hgf,Col18a1,Prrx2,Col5a2,Npc2,Fxyd5,Fgl2,Padi2,Plekha4,Itga4,Mns1,Ccdc88a,Stx11,Tbx2,Fam82a1
98,Hhex,Pglyrp2,Ccnb2,C1qa,Rasal3,Tbc1d9,Mthfd2,Fxyd3,Kif20b,Bmp5,Gsto1,Sfpi1,Hfe2,Gm5918,Ptplad2,Sh3bgr,Serpind1,Pkig,Pkhd1l1,Arhgef15,Nr2f2,Epha2,Dnajb2,Ddah2,Fam101b,Tnnt1,Spn,Apom,Nfkbid,Tacc3,Thop1,Grrp1,Plek,Bsnd,Sim1,Ces1f,Mcm6,Ccl22,Cdh1,Arap3,Ccl12,Cd200r1,Arhgef17,Rian,Stmn4,Coro1a,Fcgr2b,Cntfr,Adamts14,Kcnab1,Tlr13,2510003D18Rik,H2afz,Cnn3,Slc43a3,Soat1
99,Lyn,Laptm5,Cdca3,Nceh1,Ets1,Myo7a,Irx2,Cct4,Sytl3,Timp2,Pttg1ip,Evi2a,Kcnj5,Itpka,Rasgrp4,Cmah,Serpina1c,Apobec3,Slc18a2,Nos3,Aass,Slc39a4,Rhd,Fxyd1,Cd33,Galns,Fes,Cat,Arhgap30,1700097N02Rik,Serpinb5,Dlc1,Rbpj,Rab3ip,Paqr5,Pcx,Il7r,Pilrb2,Aldoc,Klhl5,Clec4b1,Samsn1,Npy1r,Col23a1,Qpct,Ms4a6d,Cd209d,Rarres2,Gimap1,Gjc1,Tifab,Ank1,Cd68,Igf2bp2,Pmp22,Chsy1
