,B cell,DN1 thymic pro-T cell,Fraction A pre-pro B cell,Langerhans cell,T cell,alveolar macrophage,basal cell,basal cell of epidermis,basophil,bladder cell,bladder urothelial cell,blood cell,cardiac muscle cell,ciliated columnar cell of tracheobronchial tree,classical monocyte,dendritic cell,duct epithelial cell,early pro-B cell,endocardial cell,endothelial cell,endothelial cell of hepatic sinusoid,epithelial cell,erythroblast,fibroblast,granulocyte,granulocytopoietic cell,hematopoietic precursor cell,hepatocyte,immature B cell,immature T cell,keratinocyte,kidney capillary endothelial cell,kidney cell,kidney collecting duct epithelial cell,kidney loop of Henle ascending limb epithelial cell,kidney proximal straight tubule epithelial cell,late pro-B cell,leukocyte,luminal epithelial cell of mammary gland,lung endothelial cell,macrophage,mast cell,mesangial cell,mesenchymal cell,mesenchymal stem cell,monocyte,myeloid cell,nan,natural killer cell,neuroendocrine cell,non-classical monocyte,proerythroblast,promonocyte,skeletal muscle satellite cell,stromal cell,type II pneumocyte
20,Hvcn1,Cxcr3,Ms4a6c,Cd86,Lck,Hebp1,Il17b,Tmem132a,Ms4a2,Spon1,Wfdc2,Cd83,Smpx,Cxcl17,Fcer1g,Amica1,1110032A04Rik,Smarca4,Pgm5,Sox17,Gpr116,Cxcl5,Epb4.1,Lhfp,Cebpe,Clec12a,Sdf2l1,Apoc1,Snn,Aqp11,Defb4,Nrp1,Pld4,Clcnkb,1700011H14Rik,Ugt2b38,Uhrf1,Hdc,Sox9,Plvap,Mpeg1,E330020D12Rik,Tpm2,Col27a1,Mfap5,Pld4,Naaa,Cpxm2,Il2rb,Ccl19,Pilra,Cpox,Hmgb2,Mt2,Ogn,Chia
21,Spib,Cd160,Itgb7,Nlrp3,Cd247,Klhdc4,Arl4c,Bok,Mns1,Adam23,Tmprss2,Csf2rb,Fabp3,Cyp2s1,Plac8,Cd209a,Foxq1,Fam129c,Plvap,Ctla2a,Lifr,Tspan1,Tspo2,Dpep1,Ncf1,Ifitm6,Atp8b4,Fga,Dusp2,Xrcc6,Calm4,Meis2,Irf8,Ppp1r1a,Spp1,Fxyd2,Pou2af1,Cd209a,Ptn,Afap1l1,Mcpt4,Sytl3,Sorbs2,Pla2g5,Htra3,Ifi27l2a,Pld4,Chodl,Klrg1,Fabp7,Fcer1g,Fam55b,2810417H13Rik,Rhoj,Hsd11b1,Bex2
22,Cxcr5,Zap70,Cenpf,Grasp,Il2rb,F7,Npy,Sox15,Fcgr3,Cygb,Gsdmc2,H2-Aa,Nppb,Sntn,Fcgr1,Upb1,Gsdmc2,Rag1,Stab1,Emcn,Plxnd1,Ager,Dhrs11,Osr1,Ceacam10,Ncf1,Trem3,Hamp,Dok3,Mns1,Fam25c,Calca,Slamf8,Fxyd2,Mfsd4,Keg1,Ccna2,Gm5483,Tm4sf1,Sox18,Cd74,Wdr95,Olfr558,Omd,Dpt,Ctss,Plbd1,Tnni2,Klrb1a,Pcp4l1,Cx3cr1,Hbb-b1,Top2a,6330406I15Rik,Loxl1,Scd1
23,Cd72,Gimap4,Upb1,Tnfaip2,Txk,1810033B17Rik,Postn,Ccdc3,Rgs18,Mmp23,Ctse,Plek,Ldb3,Arhgdig,Mpeg1,Cd300c,Apoc1,Ttll11,Bace2,Sdpr,Cd300lg,Dmbt1,Pnpo,Loxl1,Cybb,Ms4a3,Igsf6,Apoh,Siglecg,Cd4,Krt6a,Kdr,Pmaip1,1700011H14Rik,Cldn19,Pck1,Bfsp2,H2-Eb1,Aqp5,Gpihbp1,Csf1r,Csf2rb,Rcan2,Mfi2,Sfrp4,Cd300a,Irf8,Rgs5,Klra23,Notch3,Ly6i,Blvrb,Lst1,A130040M12Rik,Itga8,Etv5
24,H2-Aa,Skap1,Mpeg1,Tnip3,Ctsw,Olr1,Ltbp2,Ckap2l,Alox5ap,Cpz,Sh3gl2,Aif1,Tpm1,2610028H24Rik,Cx3cr1,Tyrobp,2200002D01Rik,Klhl6,Ctla2a,Plvap,Adam23,Sult1d1,Hbq1b,Clec3b,Itgb2l,Serpinb1a,Ap3s1,Fgg,Ptprcap,2810417H13Rik,Krtap3-1,Esam,Ckb,Aif1l,Atp1a1,Slc22a8,Hist2h2ac,H2-Ab1,Ido1,Slc9a3r2,Pld4,Lilrb4,Kcna5,Scara3,Gfpt2,LOC100038947,Fgd2,Prelp,Klra8,Rcan2,Sfpi1,Hba-a1,Mpeg1,Dnaja4,Sept4,Irx1
25,Mef2c,Klre1,Casc5,Il1b,Lime1,Ctss,Krt17,Anxa8,Itga2b,Dkk2,Cdc42ep5,H2-Ab1,Mybphl,1700026L06Rik,Lilrb3,Dnajc7,Aldh1a7,Pafah1b3,Rn45s,Mmrn2,Egfl7,Agr2,Nt5c3,Fstl1,Clec4a2,Gsr,BC035044,Mup2,Tifa,Endou,Serpinb12,Tek,Mpeg1,Rhcg,Tmem72,Slc5a2,Hmgb2,Mmp9,Ceacam1,Vwf,Pf4,Slc41a3,Des,Fzd9,Fstl1,Igsf6,Cbfa2t3,Apod,Cd7,Cryab,Lyz1,Rhag,Ccl9,Ncam1,Tcf21,Abca3
26,Pou2f2,Dok2,Aspm,Havcr2,Cd27,Lyz1,Pmepa1,Ube2c,Gp49a,Vcam1,Krt19,Ccl22,Pam,1700001C02Rik,Sirpb1b,Grn,Foxa1,Bcl7a,Tek,Timp4,Eng,Epas1,St3gal5,Fbln2,Gm5483,Igsf6,Hk3,Ambp,Pyhin1,Cd28,Cst6,Mmrn2,Rnase6,Fxyd4,Tmem213,Cyp2j5,Cnp,Mgl2,Areg,Prx,Cd68,1110028F11Rik,Notch3,Mgp,Cd34,Clec7a,Fam105a,Igfbp6,Samd3,Cald1,Bcl2a1a,Tspan33,Ifi30,Pdlim4,1810010H24Rik,Lyz2
27,H2-Ab1,Bcl2,Cd48,Csf2rb,Fyb,Cybb,Palld,Vsnl1,Lat2,Rcn3,Krt18,Clec7a,Hspb7,BC051019,Ifi204,Cd4,Fmo5,Gfra1,Nrp1,Cldn5,Nrp1,Ces1d,5730469M10Rik,Gpm6b,Alox5ap,Arhgdib,Gsr,Bhmt,Myl4,Fbxo5,Fabp5,Gpr116,Ppfia4,Kng2,Ptger3,Pah,Pafah1b3,H2-Aa,Tmem56,Cyp4b1,Ccl9,Alox5ap,Mrvi1,Prg4,Islr,Plac8,Mpeg1,Cxcl13,Serpinb9,Nrip2,Pilrb1,Ubac1,Prtn3,Fxyd6,Sparcl1,Npw
28,H2-Eb1,AW112010,Tifab,Alox5,Gimap4,Sh2d1b1,Sox10,Adrb2,Cyp4f18,Tnfsf9,Dnmt3l,C3ar1,Txlnb,Hdc,Ms4a6b,Cyth4,Akr1b8,Slamf7,Foxc1,Tm4sf1,Maf,Iyd,March2,Igf1,Lrg1,Elane,Gpr97,Gnmt,Prkcb,Bcl11b,Krt24,Tie1,Alox5ap,Cldn8,Kcnj16,Hao2,Myb,1600010M07Rik,Clca2,Thbd,Irf8,Rgs2,P2rx1,Ppa1,Ccl2,Rassf4,Ms4a6c,Col1a1,Txk,Sorbs1,Spn,Dhrs11,Plac8,Cxcl3,Lrp4,Ppp1r14c
29,Gm8369,Lck,Kif23,Bcl2a1b,Lef1,Siglec5,Tubb6,Tmprss11a,Alox15,Col6a3,Cldn7,Ccl3,Mybpc3,Cldn3,Lrrc25,Clec10a,Kbtbd11,Gmfg,Car8,Cd300lg,Dpp4,Muc5b,Isg20,Mfap5,Hp,Lyz2,Fcgr3,Akr1c6,Blk,Stmn1,2310033E01Rik,Clic5,Slamf7,Pvalb,Ldhb,Mep1a,Kif11,Vsig4,Dkkl1,Eng,Ctss,Emilin2,S1pr3,Ctgf,Angptl1,Tifab,Cd68,Prg4,Klrb1f,Gja4,Hck,Ube2l6,Rassf4,Cd82,Figf,Cldn3
